"id_village","id_date","id_sr","sr_number","ppr_status","pourcentage_ppr"
188,188,188,5000,"positive",NULL
189,189,189,2000,"positive",NULL
190,190,190,200,"positive",NULL
191,191,191,500,"positive",NULL
192,192,192,700,"positive",NULL
193,193,193,700,"positive",NULL
194,194,194,600,"positive",NULL
195,195,195,5000,"positive",NULL
196,196,196,3500,"positive",NULL
197,197,197,2000,"positive",NULL
198,198,198,1000,"positive",NULL
199,199,199,2000,"positive",NULL
200,200,200,7000,"positive",NULL
201,201,201,3500,"positive",NULL
202,202,202,2000,"positive",NULL
203,203,203,5000,"positive",NULL
204,204,204,5000,"positive",NULL
205,205,205,3000,"positive",NULL
206,206,206,1100,"positive",NULL
207,207,207,1000,"positive",NULL
208,208,208,1200,"positive",NULL
209,209,209,2000,"positive",NULL
210,210,210,2500,"positive",NULL
211,211,211,10000,"positive",NULL
212,212,212,10000,"positive",NULL
213,213,213,15000,"positive",NULL
214,214,214,4000,"positive",NULL
215,215,215,10000,"positive",NULL
216,216,216,5000,"positive",NULL
217,217,217,3000,"positive",NULL
218,218,218,4000,"positive",NULL
219,219,219,3000,"positive",NULL
220,220,220,5000,"positive",NULL
